"skadegrad";"kjonn";"trafikantgruppe";"moned";"skade"
"Drept";"Menn";"Forere g passasjerer po sykkel";"2012M01";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2012M02";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2012M03";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2012M04";3
"Drept";"Menn";"Forere g passasjerer po sykkel";"2012M05";2
"Drept";"Menn";"Forere g passasjerer po sykkel";"2012M06";1
"Drept";"Menn";"Forere g passasjerer po sykkel";"2012M07";2
"Drept";"Menn";"Forere g passasjerer po sykkel";"2012M08";1
"Drept";"Menn";"Forere g passasjerer po sykkel";"2012M09";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2012M10";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2012M11";1
"Drept";"Menn";"Forere g passasjerer po sykkel";"2012M12";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2013M01";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2013M02";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2013M03";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2013M04";1
"Drept";"Menn";"Forere g passasjerer po sykkel";"2013M05";3
"Drept";"Menn";"Forere g passasjerer po sykkel";"2013M06";2
"Drept";"Menn";"Forere g passasjerer po sykkel";"2013M07";1
"Drept";"Menn";"Forere g passasjerer po sykkel";"2013M08";2
"Drept";"Menn";"Forere g passasjerer po sykkel";"2013M09";1
"Drept";"Menn";"Forere g passasjerer po sykkel";"2013M10";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2013M11";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2013M12";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2014M01";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2014M02";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2014M03";1
"Drept";"Menn";"Forere g passasjerer po sykkel";"2014M04";1
"Drept";"Menn";"Forere g passasjerer po sykkel";"2014M05";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2014M06";2
"Drept";"Menn";"Forere g passasjerer po sykkel";"2014M07";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2014M08";4
"Drept";"Menn";"Forere g passasjerer po sykkel";"2014M09";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2014M10";1
"Drept";"Menn";"Forere g passasjerer po sykkel";"2014M11";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2014M12";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2015M01";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2015M02";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2015M03";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2015M04";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2015M05";1
"Drept";"Menn";"Forere g passasjerer po sykkel";"2015M06";1
"Drept";"Menn";"Forere g passasjerer po sykkel";"2015M07";1
"Drept";"Menn";"Forere g passasjerer po sykkel";"2015M08";1
"Drept";"Menn";"Forere g passasjerer po sykkel";"2015M09";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2015M10";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2015M11";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2015M12";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2016M01";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2016M02";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2016M03";1
"Drept";"Menn";"Forere g passasjerer po sykkel";"2016M04";1
"Drept";"Menn";"Forere g passasjerer po sykkel";"2016M05";2
"Drept";"Menn";"Forere g passasjerer po sykkel";"2016M06";1
"Drept";"Menn";"Forere g passasjerer po sykkel";"2016M07";1
"Drept";"Menn";"Forere g passasjerer po sykkel";"2016M08";4
"Drept";"Menn";"Forere g passasjerer po sykkel";"2016M09";1
"Drept";"Menn";"Forere g passasjerer po sykkel";"2016M10";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2016M11";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2016M12";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2017M01";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2017M02";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2017M03";2
"Drept";"Menn";"Forere g passasjerer po sykkel";"2017M04";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2017M05";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2017M06";1
"Drept";"Menn";"Forere g passasjerer po sykkel";"2017M07";3
"Drept";"Menn";"Forere g passasjerer po sykkel";"2017M08";1
"Drept";"Menn";"Forere g passasjerer po sykkel";"2017M09";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2017M10";1
"Drept";"Menn";"Forere g passasjerer po sykkel";"2017M11";1
"Drept";"Menn";"Forere g passasjerer po sykkel";"2017M12";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2018M01";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2018M02";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2018M03";0
"Drept";"Menn";"Forere g passasjerer po sykkel";"2018M04";1
"Drept";"Menn";"Forere g passasjerer po sykkel";"2018M05";1
